keith_name,keith_emotion,keith_emotion_strength
keith(262).jpg,angry,0.56
keith(270).jpg,neutral,0.44
keith(332).jpg,angry,0.74
keith(323).jpg,sad,0.37
keith(302).jpg,angry,0.91
keith(249).jpg,neutral,0.42
keith(118).jpg,neutral,0.45
keith(431).jpg,angry,0.38
keith(409).jpg,surprise,0.4
keith(194).jpg,happy,0.91
keith(199).jpg,happy,0.43
keith(390).jpg,neutral,0.68
keith(215).jpg,angry,0.53
keith(440).jpg,angry,0.66
keith(399).jpg,happy,0.61
keith(142).jpg,happy,0.77
keith(252).jpg,sad,0.38
keith(242).jpg,sad,0.77
keith(418).jpg,angry,0.89
keith(37).jpg,angry,0.65
keith(39).jpg,happy,0.83
keith(455).jpg,sad,0.5
keith(112).jpg,happy,0.99
keith(245).jpg,angry,0.86
keith(246).jpg,happy,1.0
keith(5).jpg,happy,0.98
keith(69).jpg,happy,0.68
keith(329).jpg,neutral,0.56
keith(266).jpg,neutral,0.59
keith(55).jpg,neutral,0.75
keith(248).jpg,angry,0.45
keith(388).jpg,happy,0.98
keith(355).jpg,angry,0.62
keith(188).jpg,angry,0.44
keith(464).jpg,sad,0.55
keith(14).jpg,happy,0.47
keith(264).jpg,angry,0.37
keith(328).jpg,angry,0.53
keith(460).jpg,angry,0.74
keith(340).jpg,neutral,0.32
keith(402).jpg,happy,0.34
keith(180).jpg,angry,0.4
keith(41).jpg,happy,0.91
keith(308).jpg,angry,0.53
keith(449).jpg,angry,0.62
keith(116).jpg,angry,0.64
keith(438).jpg,angry,0.53
keith(170).jpg,happy,0.65
keith(56).jpg,angry,0.7
keith(115).jpg,angry,0.4
keith(77).jpg,neutral,0.73
keith(131).jpg,happy,1.0
keith(394).jpg,neutral,0.55
keith(375).jpg,sad,0.31
keith(18).jpg,happy,1.0
keith(16).jpg,neutral,0.49
keith(275).jpg,sad,0.59
keith(423).jpg,angry,0.73
keith(48).jpg,angry,0.45
keith(452).jpg,happy,0.45
keith(405).jpg,angry,0.62
keith(62).jpg,angry,0.76
keith(152).jpg,angry,0.41
keith(53).jpg,angry,0.53
keith(19).jpg,happy,0.99
keith(366).jpg,neutral,0.84
keith(230).jpg,angry,0.56
keith(373).jpg,angry,0.68
keith(79).jpg,happy,0.73
keith(396).jpg,sad,0.49
keith(136).jpg,happy,0.43
keith(202).jpg,angry,0.37
keith(101).jpg,happy,0.54
keith(13).jpg,happy,0.99
keith(341).jpg,neutral,0.54
keith(175).jpg,angry,0.43
keith(181).jpg,neutral,0.69
keith(384).jpg,angry,0.97
keith(153).jpg,sad,0.55
keith(36).jpg,happy,1.0
keith(236).jpg,angry,0.43
keith(261).jpg,sad,0.36
keith(408).jpg,neutral,0.5
keith(289).jpg,happy,0.88
keith(412).jpg,angry,0.7
keith(469).jpg,angry,0.8
keith(426).jpg,neutral,0.44
keith(288).jpg,neutral,0.33
keith(113).jpg,angry,0.68
keith(133).jpg,neutral,0.59
keith(93).jpg,neutral,0.39
keith(368).jpg,neutral,0.44
keith(160).jpg,angry,0.81
keith(10).jpg,happy,1.0
keith(74).jpg,angry,0.84
keith.jpg,angry,0.51
keith(393).jpg,happy,0.48
keith(456).jpg,sad,0.38
keith(8).jpg,neutral,0.66
keith(294).jpg,angry,0.63
keith(386).jpg,angry,0.52
keith(9).jpg,sad,0.36
keith(171).jpg,angry,0.63
keith(97).jpg,angry,0.43
keith(291).jpg,angry,0.51
keith(187).jpg,happy,0.85
keith(305).jpg,happy,0.46
keith(135).jpg,angry,0.47
keith(424).jpg,happy,0.58
keith(167).jpg,happy,0.94
keith(23).jpg,neutral,0.38
keith(218).jpg,angry,0.54
keith(1).jpg,angry,0.85
keith(234).jpg,neutral,0.54
keith(365).jpg,angry,0.64
keith(129).jpg,neutral,0.45
keith(45).jpg,neutral,0.68
keith(369).jpg,neutral,0.51
keith(47).jpg,happy,0.84
keith(370).jpg,angry,0.5
keith(244).jpg,sad,0.4
keith(205).jpg,neutral,0.51
keith(196).jpg,neutral,0.34
keith(442).jpg,happy,0.89
keith(104).jpg,sad,0.61
keith(2).jpg,happy,0.42
keith(235).jpg,happy,0.79
keith(466).jpg,neutral,0.38
keith(458).jpg,happy,0.81
keith(27).jpg,angry,0.3
keith(184).jpg,happy,1.0
keith(66).jpg,angry,0.67
keith(462).jpg,angry,0.22
keith(468).jpg,sad,0.62
keith(212).jpg,happy,0.42
keith(29).jpg,angry,0.51
keith(130).jpg,happy,0.76
